ms	no_units	uS	kOhms	mV	
1.7127131207365803E12	3.0	0.10767010767010769	9287.628865979379	1998.5347985347985	
1.7127131207560825E12	3.0	0.10811410811410813	9249.486652977412	1964.102564102564	
1.712713120775585E12	3.0	0.10767010767010769	9287.628865979379	1877.6556776556774	
1.7127131207950872E12	3.0	0.10767010767010769	9287.628865979379	1782.4175824175823	
1.7127131208145894E12	3.0	0.10722610722610726	9326.086956521736	1686.4468864468863	
1.7127131208340916E12	3.0	0.10722610722610726	9326.086956521736	1600.7326007326005	
1.7127131208535938E12	3.0	0.10767010767010769	9287.628865979379	1531.8681318681317	
1.712713120873096E12	3.0	0.10767010767010769	9287.628865979379	1465.201465201465	
1.7127131208925981E12	3.0	0.10767010767010769	9287.628865979379	1417.5824175824175	
1.7127131209121003E12	3.0	0.10767010767010769	9287.628865979379	1390.4761904761904	
1.7127131209316028E12	3.0	0.10767010767010769	9287.628865979379	1375.091575091575	
1.712713120951105E12	3.0	0.10811410811410813	9249.486652977412	1374.3589743589744	
1.7127131209706072E12	3.0	0.10811410811410813	9249.486652977412	1372.161172161172	
1.7127131209901094E12	3.0	0.10811410811410813	9249.486652977412	1371.4285714285713	
1.7127131210096116E12	3.0	0.10811410811410813	9249.486652977412	1356.0439560439559	
1.7127131210291138E12	3.0	0.10811410811410813	9249.486652977412	1339.9267399267399	
1.712713121048616E12	3.0	0.10811410811410813	9249.486652977412	1326.007326007326	
1.7127131210681182E12	3.0	0.10811410811410813	9249.486652977412	1301.8315018315018	
1.7127131210876206E12	3.0	0.10811410811410813	9249.486652977412	1275.4578754578754	
1.7127131211071228E12	3.0	0.10811410811410813	9249.486652977412	1258.6080586080586	
1.712713121126625E12	3.0	0.10811410811410813	9249.486652977412	1254.212454212454	
1.7127131211461272E12	3.0	0.10811410811410813	9249.486652977412	1240.2930402930401	
1.7127131211656294E12	3.0	0.10811410811410813	9249.486652977412	1219.7802197802198	
1.7127131211851316E12	3.0	0.10811410811410813	9249.486652977412	1202.197802197802	
1.7127131212046338E12	3.0	0.10811410811410813	9249.486652977412	1183.150183150183	
1.712713121224136E12	3.0	0.10811410811410813	9249.486652977412	1169.9633699633698	
1.7127131212436384E12	3.0	0.10811410811410813	9249.486652977412	1153.8461538461538	
1.7127131212631406E12	3.0	0.10811410811410813	9249.486652977412	1158.974358974359	
1.7127131212826428E12	3.0	0.10811410811410813	9249.486652977412	1157.5091575091574	
1.712713121302145E12	3.0	0.10811410811410813	9249.486652977412	1145.054945054945	
1.7127131213216472E12	3.0	0.10811410811410813	9249.486652977412	1139.194139194139	
1.7127131213411494E12	3.0	0.10811410811410813	9249.486652977412	1142.1245421245421	
1.7127131213606516E12	3.0	0.10811410811410813	9249.486652977412	1136.2637362637363	
1.7127131213801538E12	3.0	0.10811410811410813	9249.486652977412	1123.8095238095236	
1.7127131213996562E12	3.0	0.10811410811410813	9249.486652977412	1121.6117216117216	
